CROPS,SOIL_PH,TEMP,RELATIVE_HUMIDITY,N,P,K
sorghum,6.3,22.6,95.9,76.4,55.7,40.5
sorghum,6.4,25.9,91.6,71,48.5,58.6
sorghum,7.2,34.8,98.4,78.3,43.4,58.6
sorghum,7.1,16.3,97,65.1,50.1,58.4
sorghum,6.1,23.3,90.5,71.3,47.7,55.2
sorghum,7.4,36.4,99,66.9,49.8,58.9
sorghum,7.5,39,91.8,61.5,47.3,55.7
sorghum,7.1,21.8,97.8,62.5,55.3,48.7
sorghum,7.2,22.1,91.6,73.5,57.7,55.4
sorghum,6.7,28.2,91.4,74,52.4,55.5
sorghum,7.3,38.9,91.9,61.7,44.6,50
sorghum,6.9,24.2,97.7,75.3,48.9,40.9
sorghum,6.8,34.5,96.4,79.4,53.4,54.3
sorghum,6.3,19.6,100,76.8,53.3,55.1
sorghum,6.6,21.5,96.5,70.9,48.3,58.9
sorghum,6.2,26.6,97.8,67.3,53.1,53.3
sorghum,6.5,39.3,96.7,78.2,45.3,51.4
sorghum,6.6,22.2,92.3,61.7,56.5,46.6
sorghum,7,27.6,93.6,65.7,58.1,59.3
sorghum,6.5,28.7,91.1,67.9,58.7,59.7
sorghum,6,24.1,97.7,60.6,42.7,41.5
sorghum,6.9,36.5,91.2,69.5,55.5,50.4
sorghum,6.3,19.4,96.9,77,42.3,48.9
sorghum,6.2,27.9,91,71.7,43.1,51.7
sorghum,6.6,39,95.8,71.6,59.2,59
sorghum,7,29.3,90.7,74.8,55.6,59.7
sorghum,6.7,31,93.5,67.4,51.2,51.3
sorghum,7,33,97.7,60.3,53.6,57.8
sorghum,6.3,34.5,91.3,73.1,54.1,40
sorghum,6.7,35.3,95.6,62.9,43.3,42.4
sorghum,7.2,25.1,95.6,67.6,53.6,40.9
sorghum,7.3,31.9,98.9,60.5,54.9,55
sorghum,7.1,34.4,90.7,64.1,52.2,53
sorghum,7.2,30.3,96,63.6,50.6,46.2
sorghum,6.3,39.2,92.9,67.1,58.5,44.7
sorghum,6.8,19,94.8,69.6,53.4,50.3
sorghum,7.3,22.1,92.9,76.9,48,48.8
sorghum,6.1,25,90.2,73.5,52.1,52.3
sorghum,7,37,93.9,60.9,51.8,44.3
sorghum,7.3,35.1,95,64.2,55.3,59.2
sorghum,7.1,20.6,94.9,74.6,54.1,56.5
sorghum,6.4,31.4,92,65.8,42.1,44
sorghum,6.9,30.3,97.4,73.7,58.6,52.8
sorghum,6.1,16.4,96.3,67.8,56.5,59.9
sorghum,7,31.9,90.3,69.4,50.9,54.3
sorghum,6.6,20.6,92.8,64.8,50.2,53.3
sorghum,7.3,15.8,95.8,77.5,51.6,41.5
sorghum,6.4,20.6,99.3,75.6,54.2,42
sorghum,7.2,23.5,93.7,75.4,45.6,50.5
sorghum,7.4,21.7,100,68.7,45.4,53.2
sorghum,6.3,23.8,90.5,75.4,43,43.8
sorghum,7.1,39.3,96.2,61.2,42.2,49.3
sorghum,7,30.4,97.2,74.5,52.1,51.1
sorghum,7.2,18.3,94.5,75.7,56,43.5
sorghum,7.3,36,95.5,72.7,47.2,49.3
sorghum,6.2,18.3,98.4,78.9,59.8,57.5
sorghum,6.9,34.3,91.2,73.7,52.7,42.5
sorghum,7.2,36.8,92.5,79.9,45.7,42.8
sorghum,6.5,22.1,91,76.1,59.5,54.1
sorghum,7.2,15.3,98.4,70.3,54.2,44.7
sorghum,6.4,17.3,92.6,62.8,57.9,47.7
sorghum,7.2,19,95.8,63.8,60,58.5
sorghum,7,18.3,97.1,60.9,53.7,49.6
sorghum,6.9,22.9,97.4,74.6,48.1,53.6
sorghum,7.4,25.8,92,69.5,54.4,47
sorghum,7.1,25.2,94.9,71.7,49.9,41.8
sorghum,6.7,21.9,92.8,73.6,51.9,51.7
sorghum,7.5,23.3,93.7,73.7,50.8,40.5
sorghum,6.8,34.8,93.7,61.1,50.8,55.4
sorghum,6.6,31.4,91.2,66.2,40.6,43.7
sorghum,6.3,31.2,92,65.2,54,58
sorghum,6,33.4,94.7,79.7,44.5,54.2
sorghum,7.4,30.7,93.6,71.3,58.1,42
sorghum,7,20.7,99.4,76.3,44,58.1
sorghum,6.3,32.8,98.8,74.2,54.8,46.3
sorghum,7.5,23.8,95,79.4,43,48.2
sorghum,6.6,32.9,93.7,70.2,40.4,57.6
sorghum,7.4,18.7,92,69.2,59.2,44.5
sorghum,6.9,39.3,93.6,66.7,58.4,51
sorghum,6.5,39.2,94.3,79.8,40.8,55.2
sorghum,7.3,28.5,91.3,74.9,52.4,46.6
sorghum,6.1,24.6,94.8,63.7,54.5,40
sorghum,6.6,21.2,90.1,73.2,54.8,41.8
sorghum,6.9,20.2,94.8,78.6,50.1,52.5
sorghum,6.5,39.8,93.7,69.7,57.7,57.7
sorghum,7.4,20.3,94,63.9,52.5,49.2
sorghum,7.3,39.4,99,69.6,53.6,55.6
sorghum,7.1,18.5,93.7,76.6,46.6,55.5
sorghum,6.2,39.7,97.3,71.9,42.6,47.6
sorghum,6.9,35.9,90,69.5,58.2,51
sorghum,6.9,39.7,93,62.7,53.7,42.2
sorghum,7.1,31.3,96.6,76.6,58.5,58
sorghum,6.8,22.9,94.4,75.9,47.7,56.2
sorghum,7.1,37.8,97.1,66.4,53.5,49.2
sorghum,6.4,16.7,98.5,75.7,41.6,42.1
sorghum,7.3,32,94.3,75.4,49,55
sorghum,6.9,25,96.7,62.7,44.9,41.6
sorghum,6.1,37.7,97.1,79.8,54,57
sorghum,6.1,38.9,92.2,66.3,46.7,40.2
sorghum,6.6,33.4,100,71.5,59.5,58.6
sorghum,6.2,36,91.2,62.5,48.4,47.7
sorghum,6.8,31.2,99.9,64.3,55.2,49.1
sorghum,7.5,22.9,95.8,72.5,45.8,52.6
sorghum,6.9,25,94.7,74.5,57.2,46.3
sorghum,6,37.6,99.8,79.9,56.4,47.3
sorghum,6.1,26.6,98.8,78.1,47.6,41.5
sorghum,6.9,37.7,90.3,72.4,51.2,54.7
sorghum,7.4,15.4,96.4,78.4,50.7,58.5
sorghum,6.1,29.2,92.8,63.3,59.5,40.8
sorghum,7.5,17.4,99.8,63,51.4,41.9
sorghum,6.1,17.3,95,61.3,45,46.1
sorghum,7.4,19.3,96.4,75.3,57.7,42.7
sorghum,6.6,18.1,94.5,62.9,44.7,42.8
sorghum,6.6,27,98.9,71.2,54.8,40.6
sorghum,6.1,38.8,97.6,71,58.6,53.7
sorghum,6.5,16.2,91.3,76.2,55.7,58.6
sorghum,7.4,37.5,92.8,79.3,54.5,49
sorghum,6.7,30.2,91.9,64.1,42.4,41.9
sorghum,6.1,16.6,100,72.9,49,54
sorghum,7.1,19,99.5,65.4,57.1,48
sorghum,6.1,35.1,97.3,76.2,51.6,57.4
sorghum,6.1,21.5,92.5,63.6,58.4,41.9
sorghum,6,38.9,99.4,63.2,58.5,50.6
sorghum,6,33.6,91.7,66.3,50.1,51.3
sorghum,6.4,29.5,92.9,71.7,59.2,53.6
sorghum,6.8,29.3,93.2,78.4,58.2,54.4
sorghum,6.7,36.9,91.3,65.8,50.9,56
sorghum,6.4,28.6,97,60.5,57.2,57.8
sorghum,7.2,37.8,95.3,68.7,50.1,53.2
sorghum,6.6,18.4,98.2,68.1,40.4,50
sorghum,7.3,39.1,96.5,67.7,43.3,43.8
sorghum,6.3,20.2,99.5,72.1,51.4,50.5
sorghum,6.9,40,94,68.6,48.7,48
sorghum,6.2,19.6,97.6,63.6,40.7,46.3
sorghum,7.1,39.7,91.4,71.6,46.5,52.2
sorghum,6.3,23.2,95.9,66.8,47.7,59.4
sorghum,7.3,36.9,93.2,72.6,54.6,46.1
sorghum,7.2,26.9,92.8,77.9,44.3,44.4
sorghum,6.4,17.7,99.1,63.7,55.2,50.5
sorghum,6.6,36.7,90.5,67.5,56.2,53.1
sorghum,6.7,17,91.4,73.4,56.6,48.9
sorghum,6.9,18.3,91.3,73.1,47.4,55.7
sorghum,6.9,20.5,92.9,64.6,43.3,43.7
sorghum,6.8,34.8,92.6,76.1,40.8,44.5
sorghum,6.5,22.6,93.1,75.1,41.8,43.6
sorghum,7.4,28,98.5,72.9,46.4,48.7
sorghum,6.1,22.7,98.8,69.5,57.2,57.8
sorghum,6.6,28.1,97,60.8,59.6,58.1
sorghum,7.5,20.7,92.9,76,56.1,55.3
sorghum,6.7,37.5,99.2,67,47.9,45.1
sorghum,7.3,26.4,90.4,73.2,40,53.7
sorghum,7,39.2,99.7,60.7,43.7,45.9
sorghum,6.9,29.3,90.9,79.5,44.5,42.3
sorghum,6.9,17.7,90.9,65.5,41.4,50.5
sorghum,7,28.6,96.2,78.6,55.5,49
sorghum,7.1,33.3,96.1,63.8,57.8,43.2
sorghum,6.6,31.8,97.3,65,43,43.6
sorghum,6.2,15.8,90.1,75.1,52.8,50.5
sorghum,6.5,22.7,97,76.6,58.8,42.5
sorghum,6.2,23.1,98.8,79.2,46.4,57.8
sorghum,7.2,18.7,93.3,75.2,46.3,57.9
sorghum,6.8,18.9,96.4,63.7,58.5,49.3
sorghum,6.9,17.5,97.6,70.3,45.9,55.1
sorghum,6.1,15.2,99.7,74.1,40,59
sorghum,6.4,32.1,95.6,62.9,40.2,52.2
sorghum,7,25.1,100,63,58.7,50
sorghum,6.5,19.5,99.7,78.3,44.6,51.1
sorghum,6.2,36,93.6,68.8,58.1,50.6
sorghum,6.6,27,90.5,63.4,43.8,50
sorghum,6.6,39.1,96.1,77.2,53,46.8
sorghum,6.7,36.6,99.4,69.6,54.7,50.9
sorghum,6,27.7,98.1,75.2,53.6,53.2
sorghum,7.1,29.5,96.6,75,59,46
sorghum,6.6,39.2,93.6,78.6,57.6,59.5
sorghum,7.4,34.7,95.4,75,58.5,56.3
sorghum,6.1,31.3,90.9,72.7,49.4,46
sorghum,6.7,23.5,90.1,71.4,51.3,48.2
sorghum,6.8,39.8,92,76.7,48.7,50.6
sorghum,7.3,31.1,92.1,69.9,52.7,45.9
sorghum,6.4,22.8,93.9,75.5,53.4,50.7
sorghum,6.1,31.6,90.6,62.5,45.1,59.4
sorghum,7.2,17.1,97.5,62.7,42.5,46.1
sorghum,6.6,20,90.9,76.7,49.4,46.3
sorghum,7.5,24.2,98.3,76.2,42.1,45.3
sorghum,6.8,18,98.1,62.8,48.8,45.6
sorghum,7,23.8,92.4,65,58.5,46.6
sorghum,6.4,23.1,90.6,69,46.1,52.2
sorghum,6.8,24.5,97.5,62.1,43.5,48.7
sorghum,7.3,24.6,94.8,65.4,57,46.8
sorghum,6.7,34.1,96.8,74.7,58.6,44.6
sorghum,7.4,25.3,91.8,69.3,58.5,59.6
sorghum,6.2,16.7,98.9,67.1,42.3,46.6
sorghum,7.4,39,98.5,60.2,44.3,43.6
sorghum,6.5,35,97.1,64.6,57.8,40.6
sorghum,6.4,17.4,95.2,63.9,45,50.7
sorghum,7.2,30,91.9,63.3,59.8,55.5
sorghum,6.3,38.7,99.7,74.6,47.4,47
sorghum,7.4,16.4,94.9,62.3,50.3,47.8
sorghum,7.2,29.9,92.7,65.1,44,42.1
sorghum,7.1,32.1,96.3,72.1,45.3,45.1
sorghum,6.1,39.6,93.1,60.3,56.5,43.3
sorghum,7.5,17,92.9,70.1,55.5,54.7
sorghum,7.4,32.1,95.3,75.7,57.9,40.1
sorghum,6.4,39.7,96.3,75.3,43.5,47.3
sorghum,6.8,30.1,97,62.9,49.4,53.5
sorghum,7.3,27,90,73,51.3,53.2
sorghum,6.4,28.3,92.7,73.4,50.5,41.9
sorghum,7.4,25,97.4,69.4,51.8,46.9
sorghum,6.4,29.2,99.1,74.9,55.6,45.7
sorghum,6.9,27.3,93.3,68.5,48.7,40.5
sorghum,7.2,31.8,96.1,69.8,48.6,55.5
sorghum,7.3,22.8,90.1,71.4,53.5,52.8
sorghum,6.5,20.5,94.8,66.6,50.6,43.2
sorghum,7,23.9,94,67.3,48.6,42.8
sorghum,6.9,17.9,91,67,44.9,56
sorghum,6.2,17.6,92.5,67,54.5,56.5
sorghum,7.4,16.6,98.8,71.9,44.8,58.8
sorghum,6.9,36.8,91.5,60.6,42,54.6
sorghum,6.7,30.7,91.1,79.4,46.6,44
sorghum,6.6,23.9,92.5,60.4,41.3,51.8
sorghum,6.5,35.3,93.8,69.3,44.2,45.2
sorghum,6.9,26.2,90.9,61.2,46.6,47.3
sorghum,6.3,33,95.6,78.3,49.5,51.9
sorghum,7,27.1,92.6,60.4,58.4,59.9
sorghum,6.2,29.3,95.7,61.1,57.6,54
sorghum,6.6,32,98.9,67.1,51.2,59.7
sorghum,7.2,28,91.2,74.3,54.7,59.1
sorghum,7.5,35.7,93,69.9,46.1,40.7
sorghum,6.1,34.1,96.1,76.6,50.5,58.7
sorghum,6.9,15.9,97.4,68.4,50.6,59.4
sorghum,6.1,19.7,98.8,72.7,49.2,40.2
sorghum,6.1,25,91.1,68.2,52.3,46.5
sorghum,7.3,35.9,94.7,62,52.7,48.5
sorghum,6.1,28.6,98.9,78,47,55.7
sorghum,6.8,20.9,99.5,76.4,49.3,51.6
sorghum,6.6,38.4,97.8,64.4,46.7,47.4
sorghum,6.9,20.8,99.3,76.5,58.5,52.4
sorghum,6.3,33.2,92.5,70.2,57.7,50.7
sorghum,6.3,19.8,98.1,68.2,49.5,53.8
sorghum,6.7,30.5,98.5,66.1,56.8,51.2
sorghum,6.7,28.8,93.5,79.6,47.1,49.4
sorghum,7.5,15.1,91.1,70.4,52.7,50.6
sorghum,7.4,29.9,90.1,70.7,41.9,54.3
sorghum,6.6,38.4,96.6,65.7,42.1,47.9
sorghum,6,15.7,94.9,73.9,58,53
sorghum,6.1,20.5,93.9,73.4,45.4,48.2
sorghum,7,17.2,92.7,67.1,48.1,43.7
sorghum,6.9,21.5,95.1,73.8,45.3,48.4
sorghum,6.1,21.3,99.9,60.5,41.8,54
sorghum,7.1,16.6,90.7,61.5,58,55.1
sorghum,6.3,38.3,94.8,69.5,46.2,48
sorghum,7.2,24.3,90.5,69.1,53.4,45
sorghum,6,27.1,94.2,63.5,58.2,52.9
sorghum,6,29.4,93.3,70.8,43.6,55.3
sorghum,6.1,35,92.8,79.7,52.2,50.4
sorghum,7,21.1,96,64.5,46.3,54.1
sorghum,6.9,34.5,97.7,68.6,43,41
sorghum,7,36.1,97.6,76.8,57.8,44.3
sorghum,7.3,33.8,96.8,69.1,43.4,54.7
sorghum,7.4,19.7,92.4,60,42.4,54.9
sorghum,7.4,26.8,90.4,72.8,43.4,59.2
sorghum,7.5,29.8,91.6,71.4,54.9,44.7
sorghum,7.4,27.3,91.7,71.5,57.5,55.7
sorghum,6.8,18.6,94.8,63.2,48.5,45.7
sorghum,6.6,19.3,91.7,68.5,40.9,55.1
sorghum,6.2,39.8,97.1,76.8,50,52.2
sorghum,7.2,38.8,95.3,72.7,46.2,41
sorghum,7.4,34.5,91.3,75.6,43.5,56.6
sorghum,6.2,30,91,75.4,53.4,43.5
sorghum,7.3,29.1,90.7,70.9,40.4,40.2
sorghum,7,15.1,95.6,65.6,58.8,46.8
sorghum,6.2,29.5,97.8,69.6,59.4,59.8
sorghum,6.8,16.6,94.5,73.7,40.1,53
sorghum,6.1,26,98.7,73.9,40.8,52.8
sorghum,6.4,28.7,91.8,70.9,59.3,47
sorghum,6.2,16.8,91.5,68.3,53.9,46.4
sorghum,6.6,16.8,97,72.7,42.4,58.4
sorghum,7,19,91.2,71.2,42.1,57.5
sorghum,6.7,35,95.1,66.4,54.2,58.2
sorghum,6.8,33.4,98.4,68.5,44.4,46.5
sorghum,6.7,39.2,98.2,66.4,44.7,45.1
sorghum,7.2,32.1,99.2,72.6,42.9,49.6
sorghum,7.2,37,93.6,69,46.9,54.5
sorghum,7.1,16.6,95.3,65.8,59.3,45.3
sorghum,6.7,19.4,93.2,76.9,41.8,59.4
sorghum,6,26.1,98,75.3,50.6,57.1
sorghum,6.2,21.4,91.5,72.3,50.2,50.9
sorghum,7.3,18.6,100,62.5,46.4,58.4
sorghum,6.6,34,90.3,71.7,55.3,42.1
sorghum,6.6,38.8,90,72.1,45.6,40.1
sorghum,6.4,17.6,97.5,75.6,58.7,50.5
sorghum,7.5,27.7,94.3,69,40.5,47.8
sorghum,6,16.3,91.7,68.8,47.3,43.9
sorghum,6.3,26,96.2,77.6,51.2,44.3
sorghum,7,26.7,99.3,76.4,54.4,42.3
sorghum,6.4,20.6,90.1,77.1,59.8,55.3
sorghum,6.5,28.2,91.2,79.4,58.6,57.9
sorghum,7.2,17.1,96.9,75.3,55.7,47.9
sorghum,7.1,30.9,99.4,68.3,42.7,56.7
sorghum,6.1,16.6,93.5,70.4,47,40.8
sorghum,6.1,27.8,92.4,74.8,50.9,45.3
sorghum,6.5,17.3,96.7,68.3,42.9,45.9
sorghum,7.4,36.4,99.3,70.5,56.9,53
sorghum,6.6,38.9,93,69.7,49,53.8
sorghum,6.2,25.4,99.9,71.8,42.5,59
sorghum,6.9,34.5,98.1,65.6,57.2,54.3
sorghum,6.1,39,91.6,79.4,49.2,46.4
sorghum,7.1,27,91.6,62.8,50.1,40.2
sorghum,6.5,39,91.4,72.6,43.3,49.6
sorghum,6.6,26.8,94.1,70.9,58.7,55.2
sorghum,6.1,33.4,94.6,63.5,41.6,59.8
sorghum,6.5,15.4,95.6,75.4,51.9,57
sorghum,6.8,32.6,91.5,65.1,50.2,40.4
sorghum,7,28.5,90.1,61.3,51.2,49.9
sorghum,6.3,28.3,94.3,68.9,51.3,57
sorghum,6.4,25.4,92.7,65.4,43.3,49.2
sorghum,6.5,27,94.6,61.2,55.4,49.1
sorghum,6.3,21.7,99.8,70.7,44.6,56.6
sorghum,6.1,39.3,98.5,66.9,45.1,46.2
sorghum,6.7,26.8,99.3,74.5,44.2,57.9
sorghum,7.5,32,98.9,71.6,40.6,46.6
sorghum,6.4,16.9,92.2,60.4,54.3,45.2
sorghum,7,35.4,99.1,65.2,45.8,59.4
sorghum,6.7,31.7,95.6,68.3,57.8,42.5
sorghum,6.1,34.2,91.3,67.9,55.7,47.7
sorghum,6,25.2,97,79,50.8,42.4
sorghum,6,32.7,98.9,66.5,57.5,44
sorghum,6,20,92.5,62.1,51.7,45.5
sorghum,7.3,27.6,92.1,65.2,59.4,59.3
sorghum,6.1,32.8,98.9,74.2,51.5,56.3
sorghum,7.4,31.2,91.9,77.5,58.1,51.2
sorghum,7.3,35,97.9,67.4,47.7,52.4
sorghum,6.9,28,97.7,72.1,55.7,52.5
sorghum,6.1,23.3,96.3,67.3,53.3,53.8
sorghum,6.4,36.7,93.5,65.3,41.2,49.5
sorghum,6.7,26.7,95.6,60.2,53.4,43.7
sorghum,6.9,33.2,91,76.6,48.8,41.6
sorghum,7.2,22.7,92.7,75.7,47.3,59.6
sorghum,6.7,33.8,91.3,78.5,55.6,47.4
sorghum,7.2,30.5,93.8,77.7,49.4,59
sorghum,6.6,38.4,97,66.5,57.6,46.6
sorghum,6.6,21.1,93.8,64.4,55.2,58.2
sorghum,6.3,37.3,95.7,77.4,41.7,43.6
sorghum,6.4,24.7,97.8,72.5,59.8,45.5
sorghum,6.5,34,92.6,76.7,55.2,48.9
sorghum,6.3,17.7,98.7,64.2,58.4,49.9
sorghum,6.5,32.9,98.9,64.6,46.7,41.7
sorghum,7.4,16.3,96.6,70.2,43.5,54.4
sorghum,6.8,33.6,96.9,63.7,54.9,46.9
sorghum,6.8,31.1,97.6,72.4,57.1,48.7
sorghum,6,31,94,67.2,53.7,42.4
sorghum,6.5,32.6,95.5,61.8,44.2,47.5
sorghum,7.1,24.3,96.5,75.9,53.2,55.5
sorghum,7.2,33.3,95,77.4,58.9,50.6
sorghum,6.4,28.1,92.2,60.5,54.8,58.7
sorghum,6.5,24.9,92.2,73.7,56.7,43.4
sorghum,7.2,20.6,90.3,74.4,59.7,46.3
sorghum,6.6,37.3,97.8,76.6,48.2,46.4
sorghum,7.2,35.5,91.7,63.4,58,48.9
sorghum,6,33.1,97.2,75.5,55.6,54.4
sorghum,6.9,39.8,95.3,64.9,57.6,57.8
sorghum,7.5,27.2,97.9,72.2,52.2,45.8
sorghum,7,27.2,98.8,63.4,57.2,54
sorghum,7.5,38.3,97.3,73.7,42.3,51
sorghum,7.5,33.4,94,69.5,58,40.8
sorghum,6.9,32.4,96,63.2,48.1,40
sorghum,6.9,25.5,99.2,70.4,46.7,56.8
sorghum,6.4,30.5,93.1,63,44.7,55.4
sorghum,6.8,36.7,96.8,72.6,45.4,55.7
sorghum,6.5,32.1,98.2,64.1,48.5,44.3
sorghum,6.3,21.5,92.5,79.4,58.8,42.2
sorghum,7.1,26.9,94.3,65.3,57.3,51.3
sorghum,7.1,18.9,99.3,73.1,54.5,59.2
sorghum,6.4,34.4,91.8,71.2,53.6,57.1
sorghum,6.1,21.6,91.4,67.9,47.3,43.3
sorghum,6.3,34.3,92.5,67.5,55.3,55.2
sorghum,6.5,38.3,93.1,68.9,44.9,41.2
sorghum,6.4,15.8,95.3,77.4,40.9,48.6
sorghum,6.6,19.7,99.3,71.4,48.8,53.8
sorghum,6.5,29.5,92.3,61.1,56.5,45.8
sorghum,7.5,21.8,95.9,72.6,47.2,55.3
sorghum,6.9,36,95.3,75.3,50.9,42.5
sorghum,6.9,33.2,97.1,78.9,56.9,49.8
sorghum,6.6,16.7,90,67.5,51.7,43.7
sorghum,6.4,22,90.5,76.4,52.6,48.3
sorghum,6.7,19.8,90.3,69.7,55.9,50.7
sorghum,6.3,15.8,91,74.4,55,41.1
sorghum,7,38.6,92.6,69.5,50.7,41.6
sorghum,6.2,36.1,95.4,72.2,55,50
sorghum,7.2,21.1,99.6,76.9,52.7,54.9
sorghum,6.1,25.5,90.5,77.6,41.2,47.5
sorghum,7.2,33.6,90.2,79.5,43.7,53.4
sorghum,7.1,18.6,96.3,70,58.6,41.4
sorghum,7.4,39.3,92.3,65.7,58,44.8
sorghum,7.1,31.9,96,78.5,48.5,46.4
sorghum,6.9,23.1,94.9,64.5,47,58.8
sorghum,6.8,37.5,97.9,78.2,44.6,43.5
sorghum,7.2,37.9,95.7,77.3,48.2,51
sorghum,6.8,36.6,98.4,61.1,49.6,53.8
sorghum,6.9,29.7,95.6,69.2,46.7,40.3
sorghum,6.4,24.3,99.3,62.4,40.1,45.8
sorghum,6.5,16.5,99.5,77.1,55.9,53.6
sorghum,7.3,22.7,92.9,78.9,57,51.3
sorghum,6.6,18.5,99,78.2,45.8,54.1
sorghum,7.3,27.8,90.5,67.8,45.7,53.7
sorghum,7.2,24.9,99.3,63.3,40.1,41
sorghum,7.1,27.4,91.2,61.5,48.6,54.4
sorghum,6.8,21.8,99,73.2,40.9,54.7
sorghum,6.5,28.7,90.3,74.3,48.3,43
sorghum,6.1,34.1,97.7,62,44.4,51.6
sorghum,6.3,15.6,92.2,77.9,59.1,55.2
sorghum,6.3,22.5,96.1,63.5,59.9,59
sorghum,6.8,22.8,97.4,78.5,45.3,53.8
sorghum,6.9,39.4,98.3,71.7,56.1,49.7
sorghum,7.2,28.6,93.8,71.1,47.5,56.8
sorghum,7.3,36.4,93.9,76.1,53.2,40.7
sorghum,7.2,33.2,93.7,77.2,51.9,58.9
sorghum,7.3,28.8,91.2,72.4,46,48.4
sorghum,7.3,25.5,96.6,61.2,54.6,43.8
sorghum,6.7,17,98,60.3,57.8,48.8
sorghum,7.5,31.3,96.3,68.5,48.2,59.8
sorghum,6.6,32.1,99.4,75.8,52.2,48
sorghum,6.7,23.3,94.2,72.1,53.5,48.1
sorghum,6.8,15.1,96.3,62.1,53.2,55.5
sorghum,6.7,19.6,96.8,77.7,50.9,59.3
sorghum,6.6,24.4,91.2,79.2,47.4,47.5
sorghum,6.5,22.9,98.1,69.7,54,43.6
sorghum,6.6,22.9,97.9,72.5,54.4,54.2
sorghum,7.1,24.1,97.5,80,57.7,51.8
sorghum,7.3,36.1,91.4,73.9,43.5,43.4
sorghum,6.4,36.4,94.1,73.9,46,42.3
sorghum,7.1,32.4,91.8,60.3,54.3,53.2
sorghum,7.3,38,95.2,74.2,48.8,40.2
sorghum,7.1,21.3,96.7,73.2,58.6,44.8
sorghum,7,21.8,99.2,61.8,43,48.1
sorghum,6.7,30.5,96.3,63.1,47.9,52.1
sorghum,6.5,19.2,90.8,79.6,56,48.4
sorghum,7.4,32.2,94.7,63.5,41.9,57.5
sorghum,7,21,95.7,68.4,50.1,58.1
sorghum,7.1,27.7,96.1,79.5,48,54.2
sorghum,7.1,32.4,92.7,63.9,56.9,42.8
sorghum,7.1,31.3,99.6,79.3,40.7,52.5
sorghum,6.6,38.4,90,76.9,48.5,43.9
sorghum,6.5,38,95.5,69.8,48.9,54.8
sorghum,7.3,21.6,90.9,71.4,41.4,46.6
sorghum,7.4,33.2,96.6,79.9,51.1,44.3
sorghum,6.7,33.4,96.1,68.1,51.4,50
sorghum,6.5,27,92.8,78.9,48.1,44.4
sorghum,6.3,27.9,90.2,71.9,48,55.4
sorghum,7.1,32.5,98.6,69.9,42.2,58.3
sorghum,6.4,24.3,93.2,60.4,43.7,48.1
sorghum,6.9,22.4,92.7,64.9,41.9,41.8
sorghum,6.2,38.1,90.9,77.8,49.7,44.4
sorghum,6.4,19.3,95.3,63,50.8,58.6
sorghum,6.7,21.9,92,68.5,54.3,40.8
sorghum,7.3,15.3,95.7,76.1,40.5,49.6
sorghum,6.1,27.6,90.1,68.4,57.9,53.1
sorghum,6.4,19.8,95.8,65.9,57.8,44.3
sorghum,7.4,27,94.6,69.9,47.6,46.5
sorghum,7.5,31.7,97.5,73.8,44.2,45.1
sorghum,7.3,21.4,94.8,73,42.6,47.8
sorghum,7.3,17.3,96.3,79.1,52.8,40.3
sorghum,7.1,38.6,100,73.7,57.6,50.4
sorghum,6.1,24.8,97.6,68.5,49.2,55.9
sorghum,7.4,37.6,95.4,77.1,44.7,47.5
sorghum,6,26.4,90.6,71.5,43.8,49.5
sorghum,6,36.3,90.1,62.3,51.6,59.2
sorghum,6.9,24.1,98.4,77.6,51.7,58
sorghum,6.7,27.9,90.7,67.5,56.7,52.8
sorghum,6.3,34.7,97.3,67.9,59.9,41.5
sorghum,7.2,35.5,91.5,72.5,42.7,44.3
sorghum,7.4,29.4,92,77.8,51.6,50.8
sorghum,6.4,28.3,99.9,75.3,59.9,43.7
sorghum,6.2,16.4,93.8,72.7,45.3,52.9
sorghum,6.9,22.3,93,68,54.9,41.6
sorghum,7.5,39,93.9,69.4,58.6,51
sorghum,7,23.8,98.7,67,55.6,57.1
sorghum,7.2,38.9,94.6,71.6,49,40.5
sorghum,6.6,22.2,94.9,72.6,47.3,53.7
sorghum,6.3,38.6,90.7,67.3,49.9,47.3
sorghum,6.1,36.8,91.3,70.6,56.1,40.2
sorghum,6.2,28.5,91,67.9,43.2,53
sorghum,6.9,16.1,95.8,67,56.3,40.2
sorghum,7.3,17,97.9,72.7,43.8,59.4
sorghum,6.6,25.4,97.3,68.3,46.3,46.7
sorghum,6.6,19.4,95.4,71.5,42.8,59.7
sorghum,6.4,33.5,92.3,62.9,48.9,40.3
sorghum,6.8,25.9,99.3,69.8,45.3,54.2
sorghum,7.2,29,94,60.9,47.5,48.4
sorghum,6.4,33.2,92.3,71.1,41.3,42.8
sorghum,6.2,22.1,95.9,71.6,41.4,42.8
sorghum,6.7,25.3,95.3,68.8,46.7,43.7
sorghum,7.3,28.9,97.6,79,41.7,43.8
sorghum,6.3,32.6,96.7,64.3,41,53.3
sorghum,6.4,26.1,97,75.9,43.2,49.9
sorghum,7.4,24.6,98.3,78.5,50.7,40.5
sorghum,7.1,19.6,91.1,78.8,52.9,48.2
sorghum,6.8,34.6,99.3,60.9,55.1,52.3
sorghum,6.2,29.1,94,65.4,54.5,53.7
sorghum,6.2,30.8,93.2,68,54,56
sorghum,6.3,28.2,99.6,79.1,45.2,59.1
sorghum,7.2,34.4,90.6,79.8,53.6,45.6
